Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 13,Area Sample 13,#Peptides,#Unique,#Spec Sample 13,PTM,Avg. Mass,Description
26,169,A0A7E5VE36,275.27,56,56,,27,0,34,Carbamidomethylation,49568,Tubulin beta chain OS=Trichoplusia ni OX=7111 GN=LOC113492972 PE=3 SV=1
25,189,A0A7E5VFQ6,273.66,49,49,2.6259E7,34,34,34,Carbamidomethylation,92158,programmed cell death 6-interacting protein OS=Trichoplusia ni OX=7111 GN=LOC113493341 PE=4 SV=1
50,3,A0A7E5VKR1,271.69,68,68,1.4724E7,22,22,23,Carbamidomethylation,55154,Vacuolar proton pump subunit B OS=Trichoplusia ni OX=7111 GN=LOC113494681 PE=3 SV=1
20,159486,Q00733.1,270.80,58,58,5.862E7,34,34,36,Carbamidomethylation,79879,RecName: Full=Capsid-associated protein VP80
31,239,A0A7E5X115,268.33,48,48,,24,0,32,Carbamidomethylation; Oxidation (M),49927,Tubulin beta chain OS=Trichoplusia ni OX=7111 GN=LOC113507665 PE=3 SV=1
36,38,A0A7E5VRS4,268.01,62,62,2.5747E7,29,29,29,Carbamidomethylation,68092,H(+)-transporting two-sector ATPase OS=Trichoplusia ni OX=7111 GN=LOC113496116 PE=3 SV=1
49,663,A0A7E5VDX7,266.30,64,64,7.2159E7,21,21,23,Carbamidomethylation,33989,60S acidic ribosomal protein P0 OS=Trichoplusia ni OX=7111 GN=LOC113492956 PE=3 SV=1
42,58,A0A7E5VTZ8,264.47,44,44,2.0856E7,24,24,26,Carbamidomethylation,80438,protein hu-li tai shao isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113496708 PE=3 SV=1
42,59,A0A7E5VTZ6,264.47,40,40,2.0856E7,24,24,26,Carbamidomethylation,89312,protein hu-li tai shao isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113496708 PE=3 SV=1
24,25,A0A7E5VH70,262.05,29,29,5.3639E6,34,34,34,Carbamidomethylation,192369,Clathrin heavy chain OS=Trichoplusia ni OX=7111 GN=LOC113493842 PE=3 SV=1
24,26,A0A7E5VHF4,262.05,29,29,5.3639E6,34,34,34,Carbamidomethylation,192298,Clathrin heavy chain OS=Trichoplusia ni OX=7111 GN=LOC113493842 PE=3 SV=1
33,36,A0A7E5VWF1,259.43,30,30,4.9291E6,29,19,30,Carbamidomethylation,169011,multidrug resistance-associated protein 1 OS=Trichoplusia ni OX=7111 GN=LOC113497341 PE=3 SV=1
35,190,A0A7E5VQ25,256.33,52,52,,26,0,29,Carbamidomethylation,41777,actin  muscle OS=Trichoplusia ni OX=7111 GN=LOC113495705 PE=3 SV=1
29,397,A0A7E5WAQ5,256.01,72,72,8.41E7,21,21,33,Carbamidomethylation,17757,Peptidyl-prolyl cis-trans isomerase OS=Trichoplusia ni OX=7111 GN=LOC113500627 PE=3 SV=1
32,171,A0A7E5WEX8,253.94,51,51,,25,0,31,Carbamidomethylation; Oxidation (M),41803,actin  muscle-type A2 OS=Trichoplusia ni OX=7111 GN=LOC113501708 PE=3 SV=1
43,47,A0A7E5VWC1,253.61,24,24,1.8775E7,26,26,26,Carbamidomethylation,144927,NPC intracellular cholesterol transporter 1 isoform X6 OS=Trichoplusia ni OX=7111 GN=LOC113497190 PE=3 SV=1
43,48,A0A7E5VWB4,253.61,24,24,1.8775E7,26,26,26,Carbamidomethylation,147668,NPC intracellular cholesterol transporter 1 isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113497190 PE=3 SV=1
74,44,A0A7E5W4D4,246.54,57,57,7.464E6,16,16,18,,46854,2-phospho-D-glycerate hydro-lyase OS=Trichoplusia ni OX=7111 GN=LOC113499004 PE=3 SV=1
69,210,A0A7E5W5W9,245.27,66,66,1.602E6,19,3,19,Carbamidomethylation,35793,Annexin OS=Trichoplusia ni OX=7111 GN=LOC113499683 PE=3 SV=1
52,159481,Q03209.2,237.76,50,50,3.7021E7,22,22,22,,60714,RecName: Full=Protein P78/83
57,159491,P25695.2,237.73,57,57,3.3404E7,20,20,21,Carbamidomethylation,41538,RecName: Full=Protein C42; Short=C42; AltName: Full=P40
41,159479,P08161.2,237.28,42,42,9.6442E6,26,26,27,Carbamidomethylation,94540,RecName: Full=Early 94 kDa protein
83,224,A0A7E5W5T7,237.10,61,61,2.2706E5,17,1,17,Carbamidomethylation,35834,Annexin OS=Trichoplusia ni OX=7111 GN=LOC113499683 PE=3 SV=1
98,159497,P41483.1,236.08,53,53,6.5323E7,14,14,15,Carbamidomethylation; Oxidation (M),25526,RecName: Full=Virus envelope protein E25; Short=Protein E25; AltName: Full=Virus envelope protein AC94
84,377,A0A7E5W5K0,235.76,72,72,2.5447E7,17,17,17,,25240,charged multivesicular body protein 4b OS=Trichoplusia ni OX=7111 GN=LOC113499278 PE=3 SV=1
48,39,A0A7E5W0E1,235.52,53,53,1.0871E7,24,24,24,Carbamidomethylation,59207,CCT-theta OS=Trichoplusia ni OX=7111 GN=LOC113498305 PE=3 SV=1
76,165965,P18569.1,234.40,43,43,1.5533E7,18,18,18,,57033,RecName: Full=Ecdysteroid UDP-glucosyltransferase; Flags: Precursor
90,159482,P32651.2,233.88,51,51,9.4756E6,13,13,16,Carbamidomethylation,45382,RecName: Full=Structural glycoprotein gp41
102,97,A0A7E5WIQ6,230.74,40,40,7.01E6,15,15,15,Carbamidomethylation,63082,Asparagine--tRNA ligase OS=Trichoplusia ni OX=7111 GN=LOC113503013 PE=4 SV=1
91,268,A0A7E5VVM4,228.23,65,65,1.7761E7,14,12,16,,34885,uncharacterized protein LOC113497167 isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113497167 PE=4 SV=1
47,159484,P41700.1,227.48,56,56,2.7251E7,24,24,25,,55417,RecName: Full=Protein AC142
39,75,A0A7E5VAA8,226.98,32,32,8.1794E6,28,28,28,Carbamidomethylation,121006,lethal(2) giant larvae protein isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113492109 PE=3 SV=1
39,76,A0A7E5VAA9,226.98,32,32,8.1794E6,28,28,28,Carbamidomethylation,121422,lethal(2) giant larvae protein isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113492109 PE=3 SV=1
51,86,A0A7E5X3W7,226.83,38,38,6.6561E6,22,22,22,Carbamidomethylation,90950,97 kDa heat shock protein isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113508321 PE=3 SV=1
51,87,A0A7E5X1P0,226.83,37,37,6.6561E6,22,22,22,Carbamidomethylation,93211,97 kDa heat shock protein isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113508321 PE=3 SV=1
51,88,A0A7E5X348,226.83,37,37,6.6561E6,22,22,22,Carbamidomethylation,94012,97 kDa heat shock protein isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113508321 PE=3 SV=1
45,197,A0A7E5W4P4,226.69,15,15,4.0658E6,25,25,25,Carbamidomethylation,243360,tight junction protein ZO-1-like isoform X10 OS=Trichoplusia ni OX=7111 GN=LOC113499368 PE=4 SV=1
53,158,A0A7E5WJN2,224.84,51,51,8.5639E6,22,22,22,Carbamidomethylation,59110,T-complex protein 1 subunit gamma OS=Trichoplusia ni OX=7111 GN=LOC113503333 PE=3 SV=1
61,99,A0A7E5VBW4,224.53,43,43,5.9426E6,20,20,20,Carbamidomethylation,66572,protein ROP isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113492505 PE=3 SV=1
77,56,A0A7E5X1U5,224.50,40,40,4.2085E6,15,15,17,Carbamidomethylation,57862,CCT-beta OS=Trichoplusia ni OX=7111 GN=LOC113508363 PE=3 SV=1
75,159492,P41662.1,224.03,47,47,1.5288E7,17,17,18,Carbamidomethylation,44803,RecName: Full=Protein AC109
72,108,A0A7E5WXB4,223.94,50,50,7.2518E6,17,17,18,Carbamidomethylation,49868,Rab GDP dissociation inhibitor OS=Trichoplusia ni OX=7111 GN=LOC113506161 PE=3 SV=1
14,15,A0A7E5VPW8,223.69,25,25,4.9328E6,42,42,42,Carbamidomethylation,265083,Spectrin beta chain OS=Trichoplusia ni OX=7111 GN=LOC113495669 PE=3 SV=1
14,18,A0A7E5VQ84,223.69,24,24,4.9328E6,42,42,42,Carbamidomethylation,273558,Spectrin beta chain OS=Trichoplusia ni OX=7111 GN=LOC113495669 PE=3 SV=1
14,16,A0A7E5VQ87,223.69,25,25,4.9328E6,42,42,42,Carbamidomethylation,267441,Spectrin beta chain OS=Trichoplusia ni OX=7111 GN=LOC113495669 PE=3 SV=1
14,20,A0A7E5VPW3,223.69,24,24,4.9328E6,42,42,42,Carbamidomethylation,272367,Spectrin beta chain OS=Trichoplusia ni OX=7111 GN=LOC113495669 PE=3 SV=1
14,17,A0A7E5VPS1,223.69,25,25,4.9328E6,42,42,42,Carbamidomethylation,268342,Spectrin beta chain OS=Trichoplusia ni OX=7111 GN=LOC113495669 PE=3 SV=1
14,19,A0A7E5VPV6,223.69,24,24,4.9328E6,42,42,42,Carbamidomethylation,270268,Spectrin beta chain OS=Trichoplusia ni OX=7111 GN=LOC113495669 PE=3 SV=1
14,21,A0A7E5VPR8,223.69,24,24,4.9328E6,42,42,42,Carbamidomethylation,272626,Spectrin beta chain OS=Trichoplusia ni OX=7111 GN=LOC113495669 PE=3 SV=1
128,230,A0A7E5WJF2,222.94,35,35,7.9616E6,12,12,13,Carbamidomethylation,61209,esterase B1-like OS=Trichoplusia ni OX=7111 GN=LOC113502887 PE=4 SV=1
66,333,A0A7E5VJS6,221.83,41,41,1.4696E5,18,2,19,Carbamidomethylation,51395,Tubulin beta chain OS=Trichoplusia ni OX=7111 GN=LOC113494447 PE=3 SV=1
38,62,A0A7E5WTZ2,221.54,32,32,6.098E6,27,27,28,Carbamidomethylation,120036,ATP-citrate synthase OS=Trichoplusia ni OX=7111 GN=LOC113505697 PE=3 SV=1
65,98,A0A7E5WEQ8,221.08,29,29,4.1985E6,19,19,19,Carbamidomethylation,117168,Ubiquitin-activating enzyme E1 OS=Trichoplusia ni OX=7111 GN=LOC113501820 PE=3 SV=1
23,103,A0A7E5W6Y6,220.98,15,15,2.4839E6,34,34,34,Carbamidomethylation,324715,talin-1 isoform X5 OS=Trichoplusia ni OX=7111 GN=LOC113499982 PE=4 SV=1
23,106,A0A7E5W7E5,220.98,13,13,2.4839E6,34,34,34,Carbamidomethylation,364723,talin-1 isoform X4 OS=Trichoplusia ni OX=7111 GN=LOC113499982 PE=4 SV=1
23,107,A0A7E5W875,220.98,13,13,2.4839E6,34,34,34,Carbamidomethylation,365992,talin-1 isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113499982 PE=4 SV=1
23,104,A0A7E5W6Z0,220.98,12,12,2.4839E6,34,34,34,Carbamidomethylation,392746,talin-1 isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113499982 PE=4 SV=1
23,105,A0A7E5W6Y1,220.98,12,12,2.4839E6,34,34,34,Carbamidomethylation,394014,talin-1 isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113499982 PE=4 SV=1
70,2897,A0A7E5VG57,220.20,24,24,3.9854E6,18,18,18,Carbamidomethylation,116724,RING-type E3 ubiquitin transferase OS=Trichoplusia ni OX=7111 GN=LOC113493467 PE=4 SV=1
106,159494,P41702.1,217.46,57,57,2.8833E7,12,12,15,Carbamidomethylation,33528,RecName: Full=Occlusion-derived virus envelope protein E27; Short=ODV-E27
104,159489,P41473.1,217.41,54,54,5.3556E7,14,14,15,Carbamidomethylation,30567,RecName: Full=Uncharacterized 30.6 kDa protein in IAP2-VLF1 intergenic region
100,270,A0A7E5VVN0,216.38,46,46,6.7095E6,15,15,15,Carbamidomethylation,56969,T-complex protein 1 subunit delta OS=Trichoplusia ni OX=7111 GN=LOC113497142 PE=3 SV=1
92,150,A0A7E5WVI5,216.07,24,24,3.642E6,14,14,16,,104433,metal transporter CNNM4-like OS=Trichoplusia ni OX=7111 GN=LOC113505583 PE=3 SV=1
89,159502,P41667.1,215.23,44,44,1.9488E7,15,15,16,Carbamidomethylation,49293,RecName: Full=Protein ORF114
87,237,A0A7E5X2K8,214.41,35,35,1.0313E7,15,15,16,Carbamidomethylation,64151,Sorting nexin OS=Trichoplusia ni OX=7111 GN=LOC113508528 PE=3 SV=1
175,442,A0A7E5VH37,213.95,57,57,7.9025E6,10,9,11,Carbamidomethylation,21638,GTPase HRas OS=Trichoplusia ni OX=7111 GN=LOC113493805 PE=4 SV=1
54,859,A0A7E5WK01,213.88,27,27,7.7049E6,21,21,21,Carbamidomethylation,102112,Eukaryotic translation initiation factor 3 subunit C OS=Trichoplusia ni OX=7111 GN=LOC113503061 PE=3 SV=1
56,85,A0A7E5W7A8,213.76,46,46,1.3169E7,20,20,21,Carbamidomethylation,60893,EH domain-containing protein 3 OS=Trichoplusia ni OX=7111 GN=LOC113499725 PE=4 SV=1
34,2373,A0A7E5WRW0,213.31,14,14,3.0479E6,29,29,29,Carbamidomethylation,299290,eIF-2-alpha kinase activator GCN1 OS=Trichoplusia ni OX=7111 GN=LOC113504678 PE=3 SV=1
58,6817,A0A7E5WI97,212.96,21,21,4.3513E6,20,20,20,Carbamidomethylation,138001,Eukaryotic translation initiation factor 3 subunit A OS=Trichoplusia ni OX=7111 GN=LOC113502878 PE=3 SV=1
58,6818,A0A7E5WJV8,212.96,21,21,4.3513E6,20,20,20,Carbamidomethylation,138088,Eukaryotic translation initiation factor 3 subunit A OS=Trichoplusia ni OX=7111 GN=LOC113502878 PE=3 SV=1
58,6819,A0A7E5WI27,212.96,21,21,4.3513E6,20,20,20,Carbamidomethylation,138375,Eukaryotic translation initiation factor 3 subunit A OS=Trichoplusia ni OX=7111 GN=LOC113502878 PE=3 SV=1
118,159496,P69037.1,212.83,52,52,5.4899E7,12,12,14,Carbamidomethylation,25228,RecName: Full=Protein FP25; AltName: Full=25 kDa protein
63,35,A0A7E5W6G7,208.72,43,43,7.7925E6,20,20,20,,66724,transketolase-like protein 2 OS=Trichoplusia ni OX=7111 GN=LOC113499721 PE=4 SV=1
133,355,A0A7E5VPJ4,207.15,70,70,1.3217E7,12,12,13,Carbamidomethylation,26356,uncharacterized protein LOC113495595 isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113495595 PE=3 SV=1
133,356,A0A7E5VPD6,207.15,64,64,1.3217E7,12,12,13,Carbamidomethylation,29199,uncharacterized protein LOC113495595 isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113495595 PE=1 SV=1
78,403,A0A7E5WGZ8,206.85,69,69,1.3335E7,16,16,17,,41812,IST1 homolog OS=Trichoplusia ni OX=7111 GN=LOC113502319 PE=3 SV=1
62,329,A0A7E5X5Y1,206.50,47,47,1.0014E6,19,5,20,Carbamidomethylation,50710,Tubulin beta chain OS=Trichoplusia ni OX=7111 GN=LOC113508948 PE=3 SV=1
80,209,A0A7E5W093,206.48,30,30,4.769E6,17,17,17,Carbamidomethylation,81912,plastin-3 OS=Trichoplusia ni OX=7111 GN=LOC113498282 PE=4 SV=1
137,159505,P24656.2,205.71,74,74,1.2556E7,12,12,13,Carbamidomethylation,19288,RecName: Full=Tyrosine-protein phosphatase; AltName: Full=BVP
203,909,A0A7E5VDW5,205.61,88,88,5.7606E7,9,9,10,Carbamidomethylation; Oxidation (M),11337,60S acidic ribosomal protein P1 OS=Trichoplusia ni OX=7111 GN=LOC113492912 PE=3 SV=1
96,42,A0A7E5VGG8,204.51,16,16,2.3112E6,14,14,15,,155126,multidrug resistance-associated protein 4-like OS=Trichoplusia ni OX=7111 GN=LOC113493562 PE=4 SV=1
94,57,A0A7E5WSU8,203.79,28,28,2.6411E6,16,16,16,Carbamidomethylation,89174,Vesicle-fusing ATPase OS=Trichoplusia ni OX=7111 GN=LOC113505390 PE=4 SV=1
116,159485,Q00732.2,203.34,45,45,1.1564E7,14,14,14,Carbamidomethylation,45313,RecName: Full=p48 protein; AltName: Full=p45 protein
125,109,A0A7E5VGA4,203.33,14,14,2.0057E6,13,13,13,Carbamidomethylation,151739,probable multidrug resistance-associated protein lethal(2)03659 OS=Trichoplusia ni OX=7111 GN=LOC113493522 PE=4 SV=1
67,72,A0A7E5WBX9,203.32,38,38,8.6645E6,19,19,19,Carbamidomethylation,67635,Moesin/ezrin/radixin homolog 1 OS=Trichoplusia ni OX=7111 GN=LOC113501302 PE=4 SV=1
67,73,A0A7E5WC28,203.32,38,38,8.6645E6,19,19,19,Carbamidomethylation,67863,Moesin/ezrin/radixin homolog 1 OS=Trichoplusia ni OX=7111 GN=LOC113501302 PE=4 SV=1
67,74,A0A7E5WBV4,203.32,37,37,8.6645E6,19,19,19,Carbamidomethylation,69517,Moesin/ezrin/radixin homolog 1 OS=Trichoplusia ni OX=7111 GN=LOC113501302 PE=4 SV=1
110,234,A0A7E5VKT5,203.10,30,30,3.2788E6,14,14,14,Carbamidomethylation,65286,serine/threonine-protein phosphatase PP2A 65 kDa regulatory subunit OS=Trichoplusia ni OX=7111 GN=LOC113494680 PE=4 SV=1
151,301,A0A7E5VWQ0,202.88,66,66,2.4466E7,12,12,12,,23252,glutathione S-transferase 2-like OS=Trichoplusia ni OX=7111 GN=LOC113497263 PE=4 SV=1
132,330,A0A7E5WRJ3,202.79,41,41,2.4577E6,12,11,13,Carbamidomethylation,47683,26S proteasome regulatory subunit 6A-B OS=Trichoplusia ni OX=7111 GN=LOC113504711 PE=3 SV=1
55,217,A0A7E5VBZ4,202.60,23,23,1.2523E5,21,2,21,Carbamidomethylation,102426,Dynamin GTPase OS=Trichoplusia ni OX=7111 GN=LOC113492527 PE=3 SV=1
68,160,A0A7E5WZQ1,202.53,44,44,5.4201E6,18,18,19,Carbamidomethylation,58904,T-complex protein 1 subunit eta OS=Trichoplusia ni OX=7111 GN=LOC113507248 PE=3 SV=1
81,93,A0A7E5VT50,202.47,35,35,6.3975E6,16,16,17,,68206,Polyadenylate-binding protein OS=Trichoplusia ni OX=7111 GN=LOC113496349 PE=3 SV=1
134,231,A0A7E5WPC2,201.98,32,32,7.0688E6,13,13,13,Carbamidomethylation,52388,Annexin OS=Trichoplusia ni OX=7111 GN=LOC113504468 PE=3 SV=1
117,240,A0A2H4WW83,200.95,48,48,8.5604E6,14,14,14,Carbamidomethylation,35542,Glyceraldehyde-3-phosphate dehydrogenase OS=Trichoplusia ni OX=7111 GN=LOC113509001 PE=2 SV=1
64,118,A0A7E5WFN3,200.42,24,24,7.6602E6,19,19,19,,96088,perilipin-4-like isoform X25 OS=Trichoplusia ni OX=7111 GN=LOC113502218 PE=4 SV=1
64,114,A0A7E5WFN1,200.42,24,24,7.6602E6,19,19,19,,96079,perilipin-4-like isoform X24 OS=Trichoplusia ni OX=7111 GN=LOC113502218 PE=4 SV=1
64,116,A0A7E5WFM4,200.42,23,23,7.6602E6,19,19,19,,99272,perilipin-4-like isoform X23 OS=Trichoplusia ni OX=7111 GN=LOC113502218 PE=4 SV=1
64,117,A0A7E5WGG6,200.42,23,23,7.6602E6,19,19,19,,99292,perilipin-4-like isoform X22 OS=Trichoplusia ni OX=7111 GN=LOC113502218 PE=4 SV=1
64,119,A0A7E5WFM9,200.42,23,23,7.6602E6,19,19,19,,102080,perilipin-4-like isoform X20 OS=Trichoplusia ni OX=7111 GN=LOC113502218 PE=4 SV=1
64,120,A0A7E5WFM0,200.42,22,22,7.6602E6,19,19,19,,102607,perilipin-4-like isoform X18 OS=Trichoplusia ni OX=7111 GN=LOC113502218 PE=4 SV=1
64,121,A0A7E5WFM5,200.42,22,22,7.6602E6,19,19,19,,102576,perilipin-4-like isoform X19 OS=Trichoplusia ni OX=7111 GN=LOC113502218 PE=4 SV=1
64,147,A0A7E5WH70,200.42,23,23,7.6602E6,19,19,19,,101678,perilipin-4-like isoform X21 OS=Trichoplusia ni OX=7111 GN=LOC113502218 PE=4 SV=1
64,131,A0A7E5WFL4,200.42,22,22,7.6602E6,19,19,19,,105935,perilipin-4-like isoform X13 OS=Trichoplusia ni OX=7111 GN=LOC113502218 PE=4 SV=1
64,124,A0A7E5WGF4,200.42,22,22,7.6602E6,19,19,19,,105892,perilipin-4-like isoform X12 OS=Trichoplusia ni OX=7111 GN=LOC113502218 PE=4 SV=1
64,122,A0A7E5WFM2,200.42,22,22,7.6602E6,19,19,19,,105292,perilipin-4-like isoform X14 OS=Trichoplusia ni OX=7111 GN=LOC113502218 PE=4 SV=1
64,134,A0A7E5WH65,200.42,22,22,7.6602E6,19,19,19,,105360,perilipin-4-like isoform X16 OS=Trichoplusia ni OX=7111 GN=LOC113502218 PE=4 SV=1
64,123,A0A7E5WFM3,200.42,22,22,7.6602E6,19,19,19,,105384,perilipin-4-like isoform X15 OS=Trichoplusia ni OX=7111 GN=LOC113502218 PE=4 SV=1
64,135,A0A7E5WGG0,200.42,22,22,7.6602E6,19,19,19,,105369,perilipin-4-like isoform X17 OS=Trichoplusia ni OX=7111 GN=LOC113502218 PE=4 SV=1
64,115,A0A7E5WH50,200.42,21,21,7.6602E6,19,19,19,,111078,perilipin-4-like isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113502218 PE=4 SV=1
64,125,A0A7E5WGE9,200.42,21,21,7.6602E6,19,19,19,,108597,perilipin-4-like isoform X8 OS=Trichoplusia ni OX=7111 GN=LOC113502218 PE=4 SV=1
64,126,A0A7E5WFL7,200.42,21,21,7.6602E6,19,19,19,,108537,perilipin-4-like isoform X6 OS=Trichoplusia ni OX=7111 GN=LOC113502218 PE=4 SV=1
64,127,A0A7E5WFK5,200.42,21,21,7.6602E6,19,19,19,,108608,perilipin-4-like isoform X9 OS=Trichoplusia ni OX=7111 GN=LOC113502218 PE=4 SV=1
64,133,A0A7E5WFL8,200.42,21,21,7.6602E6,19,19,19,,108616,perilipin-4-like isoform X10 OS=Trichoplusia ni OX=7111 GN=LOC113502218 PE=4 SV=1
64,128,A0A7E5WFK2,200.42,21,21,7.6602E6,19,19,19,,109139,perilipin-4-like isoform X4 OS=Trichoplusia ni OX=7111 GN=LOC113502218 PE=4 SV=1
64,129,A0A7E5WFK8,200.42,21,21,7.6602E6,19,19,19,,109105,perilipin-4-like isoform X5 OS=Trichoplusia ni OX=7111 GN=LOC113502218 PE=4 SV=1
64,130,A0A7E5WGE4,200.42,21,21,7.6602E6,19,19,19,,108751,perilipin-4-like isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113502218 PE=4 SV=1
64,136,A0A7E5WH60,200.42,21,21,7.6602E6,19,19,19,,108673,perilipin-4-like isoform X11 OS=Trichoplusia ni OX=7111 GN=LOC113502218 PE=4 SV=1
